Haematopus longirostris
Haematopus fuliginosus
Haematopus unicolor
Haematopus finschi
Haematopus ater
Vanellus albiceps
Vanellus cayanus
Vanellus vanellus
Vanellus crassirostris
Vanellus spinosus
Vanellus chilensis
Vanellus senegallus
Vanellus armatus
Vanellus indicus
Vanellus miles
Vanellus resplendens
Vanellus coronatus
Erythrogonys cinctus
Recurvirostra novaehollandiae
Recurvirostra avosetta
Recurvirostra americana
Pluvialis apricaria
Pluvialis squatarola
Pluvialis dominica
Pluvialis fulva
Anarhynchus frontalis
Elseyornis melanops
Burhinus capensis
Burhinus oedicnemus
Burhinus bistriatus
Burhinus grallarius
Burhinus vermiculatus
Egretta gularis
Egretta novaehollandiae
Egretta caerulea
Egretta tricolor
Egretta thula
Egretta garzetta
Egretta sacra
Egretta rufescens
Ardea purpurea
Ardea cocoi
Ardea cinerea
Ardea herodias
Ardea pacifica
Ardea goliath
Ardea melanocephala
Nycticorax nycticorax
Nycticorax caledonicus
Ardeola bacchus
Ardeola speciosa
Ardeola grayii
Ardeola ralloides
Nyctanassa violacea
Ixobrychus sinensis
Ixobrychus exilis
Bubulcus ibis
Butorides virescens
Botaurus stellaris
Botaurus lentiginosus
Cochlearius cochlearius
Gorsachius melanolophus
Tigrisoma lineatum
Tigrisoma mexicanum
Agamia agami
Syrigma sibilatrix
Pilherodius pileatus
Anhinga novaehollandiae
Anhinga melanogaster
Anhinga anhinga
Anhinga rufa
Aquila heliaca
Aquila chrysaetos
Aquila verreauxii
Aquila rapax
Aquila audax
Aquila nipalensis
Accipiter striatus
Accipiter nisus
Accipiter gentilis
Accipiter cooperii
Accipiter fasciatus
Accipiter bicolor
Accipiter melanoleucus
Accipiter badius
Accipiter trivirgatus
Hieraaetus pennatus
Spilornis cheela
Circus pygargus
Circus approximans
Circus aeruginosus
Circus buffoni
Circus macrourus
Buteo albonotatus
Buteo regalis
Buteo brachyurus
Buteo galapagoensis
Buteo rufinus
Buteo swainsoni
Buteo rufofuscus
Buteo lagopus
Buteo lineatus
Buteo jamaicensis
Buteo platypterus
Terathopius ecaudatus
Buteogallus anthracinus
Buteogallus meridionalis
Buteogallus urubitinga
Circaetus pectoralis
Circaetus cinereus
Circaetus gallicus
Polyboroides typus
Aviceda
Milvus milvus
Milvus migrans
Elanus caeruleus
Elanus axillaris
Elanus leucurus
Harpagus bidentatus
Leptodon cayanensis
Spizaetus tyrannus
Spizaetus ornatus
Elanoides forficatus
Haliaeetus leucocephalus
Haliaeetus vocifer
Haliaeetus albicilla
Haliaeetus leucogaster
Harpia harpyja
Stephanoaetus coronatus
Pernis apivorus
Chondrohierax uncinatus
Lophaetus occipitalis
Melierax canorus
Melierax metabates
Gampsonyx swainsonii
Polemaetus bellicosus
Busarellus nigricollis
Rostrhamus sociabilis
Parabuteo unicinctus
Neophron percnopterus
Gyps africanus
Gyps coprotheres
Gyps fulvus
Gyps himalayensis
Butastur
Gypaetus barbatus
Aegypius monachus
Trigonoceps occipitalis
Torgos tracheliotos
Haliastur indus
Haliastur sphenurus
Geranospiza caerulescens
Ictinia plumbea
Ictinia mississippiensis
Gypohierax angolensis
Geranoaetus melanoleucus
Necrosyrtes monachus
